[2014.05.30 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-06-06%2003:00:00
[2014.09.27 09:29:49]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-10-03%2003:00:00
[2014.10.03 03:00:02]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-10-03%2018:00:00
[2014.10.03 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.10.03 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-10-10%2003:00:00
[2014.10.10 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-10-10%2018:00:00
[2014.10.10 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.10.10 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-10-17%2003:00:00
[2014.10.17 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-10-17%2018:00:00
[2014.10.17 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.10.17 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-10-24%2003:00:00
[2014.10.24 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-10-24%2018:00:00
[2014.10.24 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.10.24 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-10-31%2003:00:00
[2014.10.31 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-10-31%2018:00:00
[2014.10.31 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.10.31 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-11-07%2003:00:00
[2014.11.07 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-11-07%2018:00:00
[2014.11.07 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.11.07 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-11-14%2003:00:00
[2014.11.14 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-11-14%2018:00:00
[2014.11.14 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.11.14 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-11-21%2003:00:00
[2014.11.21 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-11-21%2018:00:00
[2014.11.21 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.11.21 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-11-28%2003:00:00
[2014.11.28 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-11-28%2018:00:00
[2014.11.28 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.11.28 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-12-05%2003:00:00
[2014.12.05 03:00:01]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-12-05%2018:00:00
[2014.12.05 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.12.05 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-12-12%2003:00:00
[2014.12.12 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-12-12%2018:00:00
[2014.12.12 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.12.12 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-12-19%2003:00:00
[2014.12.19 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-12-19%2018:00:00
[2014.12.19 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.12.19 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2014-12-26%2003:00:00
[2014.12.26 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2014-12-26%2018:00:00
[2014.12.26 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2014.12.26 18:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2015-01-02%2003:00:00
[2015.01.02 12:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2015.01.10 13:32:30]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2015-01-16%2004:00:00
[2015.01.10 13:32:43]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2015-01-16%2003:00:00
[2015.01.16 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2015-01-16%2004:00:00
[2015.01.16 03:30:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2015.01.16 04:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2015-01-23%2003:00:00
[2015.01.23 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2015-01-30%2004:00:00
[2015.01.23 03:30:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2015.01.23 04:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2015-01-23%2003:00:00
[2015.01.24 10:45:20]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2015-02-06%2004:00:00
[2015.01.24 14:21:06]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2015-01-30%2003:00:00
[2015.01.30 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2015-02-06%2004:00:00
[2015.01.30 03:30:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2015.01.30 04:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2015-01-30%2003:00:00
[2015.01.30 11:11:58]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2015-02-06%2003:00:00
[2015.02.06 03:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=close&time=2015-1-30%2004:00:00
[2015.02.06 03:30:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=send
[2015.02.06 04:00:00]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2015-02-06%2003:00:00
[2015.02.06 09:44:19]:[success]:http://star2.gz.1251001828.clb.myqcloud.com:8282/star/vv_world_rank_1234.html?method=start&time=2015-02-13%2003:00:00
